户型,总价格,名字,小区,建造年代,楼层,面积,首付
        2室2厅2卫，,        120万,番禺大石,怡居新村,1996年,普通住宅低层(共7层)					,70平方米,36.00万                    
        4室2厅3卫，,        700万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,105平方米,210.00万                    
        2室2厅1卫，,        170万,番禺大石,富庭东园,2005年,普通住宅高层(共7层)					,58平方米,51.00万                    
        2室2厅2卫，,        140万,番禺大石,天骄时代,2013年,普通住宅低层(共27层)					,75平方米,42.00万                    
        3室2厅2卫，,        365万,番禺大石,新月明珠花园,2008年,普通住宅低层(共23层)					,108平方米,109.50万                    
        2室2厅2卫，,        187万,番禺大石,富庭华园,2002年,普通住宅高层(共7层)					,68平方米,56.10万                    
        2室2厅1卫，,        150万,番禺大石,富丽广场丽茗居,2002年,普通住宅高层(共6层)					,75平方米,45.00万                    
        1室1厅1卫，,        74万,番禺大石,天骄时代,2015年,普通住宅中层(共17层)					,50平方米,22.20万                    
        4室2厅3卫，,        630万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,125平方米,189.00万                    
        3室1厅1卫，,        182万,番禺大石,富丽家园福宁园,1999年,普通住宅高层(共7层)					,96平方米,54.60万                    
        3室1厅2卫，,        325万,番禺大石,新城市宜家,2017年,普通住宅中层(共9层)					,110平方米,97.50万                    
        2室2厅2卫，,        140万,番禺大石,天骄时代,2013年,普通住宅低层(共27层)					,75平方米,42.00万                    
        2室2厅2卫，,        138万,番禺大石,天骄时代,2017年,普通住宅高层(共28层)					,78平方米,41.40万                    
        3室2厅2卫，,        280万,番禺大石,今日丽舍,2004年,普通住宅中层(共24层)					,100.2平方米,84.00万                    
        3室2厅1卫，,        258万,番禺大石,丽水湾,2004年,普通住宅高层(共11层)					,86平方米,77.40万                    
        3室1厅2卫，,        208万,番禺大石,宾至路小区,2003年,普通住宅中层(共7层)					,92平方米,62.40万                    
        2室2厅1卫，,        126万,番禺大石,富丽广场丽茗居,2002年,普通住宅高层(共6层)					,56平方米,37.80万                    
        2室2厅1卫，,        165万,番禺大石,滨江绿园,2004年,普通住宅高层(共6层)					,63平方米,49.50万                    
        3室2厅1卫，,        145万,番禺大石,富丽家园,1998年,普通住宅共9层					,86平方米,43.50万                    
        3室2厅2卫，,        330万,番禺大石,富庭华园,2004年,普通住宅中层(共7层)					,112.9平方米,99.00万                    
        2室2厅1卫，,        170万,番禺大石,富庭东园,2008年,普通住宅中层(共7层)					,63平方米,51.00万                    
        3室1厅2卫，,        185万,番禺大石,富丽家园福宁园,1998年,普通住宅中层(共7层)					,88平方米,55.50万                    
        2室2厅1卫，,        140万,番禺大石,天骄时代,2017年,公寓高层(共27层)					,70平方米,42.00万                    
        3室2厅1卫，,        180万,番禺大石,福泰园,1998年,普通住宅中层(共8层)					,89平方米,54.00万                    
        1室1厅1卫，,        93万,番禺大石,天骄时代,2017年,普通住宅中层(共28层)					,48平方米,27.90万                    
        2室1厅1卫，,        98万,番禺大石,永富楼,1998年,普通住宅高层(共7层)					,52平方米,29.40万                    
        2室2厅1卫，,        145万,番禺大石,今日丽舍,2004年,普通住宅共22层					,60平方米,43.50万                    
        3室2厅2卫，,        365万,番禺大石,锦绣银湾,2009年,普通住宅中层(共28层)					,108平方米,109.50万                    
        2室1厅1卫，,        195万,番禺大石,天骄时代,2015年,普通住宅中层(共28层)					,95平方米,58.50万                    
        3室2厅1卫，,        68万,番禺大石,天骄时代,2017年,普通住宅高层(共7层)					,71平方米,20.40万                    
        4室2厅2卫，,        483万,番禺大石,华筑翡翠湾,2018年,普通住宅低层(共30层)					,138平方米,144.90万                    
        3室2厅1卫，,        165万,番禺大石,富丽楼,1996年,普通住宅高层(共7层)					,117平方米,49.50万                    
        2室1厅1卫，,        68万,番禺大石,天骄时代,2016年,普通住宅高层(共30层)					,69平方米,20.40万                    
        3室2厅2卫，,        355万,番禺大石,锦绣银湾,2006年,普通住宅中层(共28层)					,123平方米,106.50万                    
        2室2厅2卫，,        350万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,108平方米,105.00万                    
        2室1厅1卫，,        149万,番禺大石,凯跃大厦,1999年,普通住宅中层(共7层)					,65平方米,44.70万                    
        3室2厅2卫，,        300万,番禺大石,华筑翡翠湾,2017年,普通住宅中层(共30层)					,104平方米,90.00万                    
        2室1厅1卫，,        90万,番禺大石,富丽家园康信楼,2000年,普通住宅高层(共9层)					,62平方米,27.00万                    
        3室2厅1卫，,        180万,番禺大石,富丽家园,1998年,普通住宅中层(共7层)					,100平方米,54.00万                    
        5室4厅3卫，,        680万,番禺大石,锦绣银湾,2008年,普通住宅高层(共28层)					,263平方米,204.00万                    
        2室2厅1卫，,        130万,番禺大石,天骄时代,2016年,普通住宅中层(共17层)					,68平方米,39.00万                    
        2室2厅1卫，,        200万,番禺大石,福泰园,2004年,普通住宅中层(共8层)					,80平方米,60.00万                    
        4室2厅2卫，,        420万,番禺大石,新月明珠花园,2008年,普通住宅高层(共23层)					,130平方米,126.00万                    
        2室1厅1卫，,        175万,番禺大石,新月明珠花园,2012年,普通住宅高层(共30层)					,58平方米,52.50万                    
        3室2厅2卫，,        205万,番禺大石,富怡大厦,2004年,普通住宅中层(共6层)					,101平方米,61.50万                    
        2室2厅2卫，,        98万,番禺大石,天骄时代,2016年,普通住宅中层(共27层)					,79平方米,29.40万                    
        3室2厅1卫，,        230万,番禺大石,大石侨苑,1994年,普通住宅高层(共6层)					,116平方米,69.00万                    
        3室2厅2卫，,        340万,番禺大石,锦绣银湾,2007年,普通住宅中层(共28层)					,122平方米,102.00万                    
        3室2厅2卫，,        200万,番禺大石,富怡大厦,2005年,普通住宅高层(共6层)					,103平方米,60.00万                    
        1室1厅1卫，,        46万,番禺大石,天骄时代,2015年,公寓中层(共20层)					,37平方米,13.80万                    
        2室2厅1卫，,        145万,番禺大石,今日丽舍,2004年,普通住宅共22层					,60平方米,43.50万                    
        3室2厅1卫，,        365万,番禺大石,新月明珠花园,2008年,普通住宅低层(共21层)					,108平方米,109.50万                    
        3室2厅1卫，,        270万,番禺大石,富庭华园,2002年,普通住宅中层(共7层)					,95平方米,81.00万                    
        3室1厅2卫，,        185万,番禺大石,富丽家园福宁园,1998年,普通住宅中层(共7层)					,88平方米,55.50万                    
        2室2厅1卫，,        140万,番禺大石,富丽广场康悦居,2005年,普通住宅高层(共6层)					,65平方米,42.00万                    
        2室1厅1卫，,        195万,番禺大石,滨江绿园,2004年,普通住宅高层(共11层)					,64平方米,58.50万                    
        5室2厅3卫，,        550万,番禺大石,锦绣银湾,2008年,普通住宅高层(共18层)					,127平方米,165.00万                    
